SCIP version 5.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: NONE] [GitHash: 3bbd232]
Copyright (C) 2002-2017 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  Readline 6.3         GNU library for command line editing (gnu.org/s/readline)
  CppAD 20160000.1     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  ZLIB 1.2.8           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.1.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)

user parameter file <scip.set> not found - using default parameters

read problem <../../Split_data/output/madelon_train/0/2_sample_madelon_train.logreg>
============

File name	:	../../Split_data/output/madelon_train/0/2_sample_madelon_train.logreg
Problem name 	:	2_sample_madelon_train
Number of data	:	1600
Number of var	:	500
The given data has linear independence

[dim=1] time: 1.68914
[dim=2] time: 3.42104
[dim=3] time: 5.1601
[dim=4] time: 6.89428
[dim=5] time: 8.67161
[dim=6] time: 10.4484
[dim=7] time: 12.263
[dim=8] time: 14.0729
[dim=9] time: 15.9118
[dim=10] time: 17.7577
[dim=11] time: 19.6067
[dim=12] time: 21.4477
[dim=13] time: 23.3287
[dim=14] time: 25.2249
[dim=15] time: 27.1552
[dim=16] time: 29.0945
[dim=17] time: 31.0685
[dim=18] time: 33.0407
[dim=19] time: 35.0406
[dim=20] time: 37.0286
[dim=21] time: 39.0454
[dim=22] time: 41.0856
[dim=23] time: 43.1681
[dim=24] time: 45.2399
[dim=25] time: 47.3692
[dim=26] time: 49.4885
[dim=27] time: 51.6575
[dim=28] time: 53.8248
[dim=29] time: 56.0312
[dim=30] time: 58.2697
[dim=31] time: 60.5404
[dim=32] time: 62.7994
[dim=33] time: 65.1346
[dim=34] time: 67.4957
[dim=35] time: 69.8694
[dim=36] time: 72.2596
[dim=37] time: 74.6806
[dim=38] time: 77.1099
[dim=39] time: 79.6225
[dim=40] time: 82.1192
[dim=41] time: 84.6211
[dim=42] time: 87.1388
[dim=43] time: 89.708
[dim=44] time: 92.231
[dim=45] time: 94.7753
[dim=46] time: 97.368
[dim=47] time: 100.01
[dim=48] time: 102.641
[dim=49] time: 105.328
[dim=50] time: 108.002
[dim=51] time: 110.732
[dim=52] time: 113.465
[dim=53] time: 116.238
[dim=54] time: 119.044
[dim=55] time: 121.855
[dim=56] time: 124.634
[dim=57] time: 127.471
[dim=58] time: 130.365
[dim=59] time: 133.254
[dim=60] time: 136.118
[dim=61] time: 139.059
[dim=62] time: 141.958
[dim=63] time: 144.908
[dim=64] time: 147.822
[dim=65] time: 150.837
[dim=66] time: 153.866
[dim=67] time: 156.946
[dim=68] time: 160.01
[dim=69] time: 163.355
[dim=70] time: 166.56
[dim=71] time: 169.939
[dim=72] time: 173.171
[dim=73] time: 176.499
[dim=74] time: 179.772
[dim=75] time: 183.076
[dim=76] time: 186.332
[dim=77] time: 189.645
[dim=78] time: 192.997
[dim=79] time: 196.384
[dim=80] time: 199.73
[dim=81] time: 203.157
[dim=82] time: 206.568
[dim=83] time: 210.021
[dim=84] time: 213.429
[dim=85] time: 217.002
[dim=86] time: 220.593
[dim=87] time: 224.172
[dim=88] time: 227.678
[dim=89] time: 231.282
[dim=90] time: 234.9
[dim=91] time: 238.515
[dim=92] time: 242.092
[dim=93] time: 245.766
[dim=94] Time of forward = 249.461sec.
AIC: 1983.91
k: 93

[dim=500] time: 185.945
[dim=499] time: 254.469
[dim=498] time: 335.422
[dim=497] time: 415.042
[dim=496] time: 505.337
[dim=495] time: 584.474
[dim=494] time: 638.315
[dim=493] time: 705.918
[dim=492] time: 747.586
[dim=491] time: 811.525
[dim=490] time: 903.051
[dim=489] time: 980.994
[dim=488] time: 1053.28
[dim=487] time: 1117.2
[dim=486] time: 1164.38
[dim=485] time: 1231.65
[dim=484] time: 1291.59
[dim=483] time: 1354.9
[dim=482] time: 1409.32
[dim=481] time: 1454.95
[dim=480] time: 1494.36
[dim=479] time: 1558.48
[dim=478] time: 1622.59
[dim=477] time: 1665.57
[dim=476] time: 1732.54
[dim=475] time: 1785.45
[dim=474] time: 1849.57
[dim=473] time: 1918.66
[dim=472] time: 1987.29
[dim=471] time: 2036.65
Time of backward = 2036.65sec.
AIC: 2483.14
k: 471
