SCIP version 5.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: NONE] [GitHash: 3bbd232]
Copyright (C) 2002-2017 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  Readline 6.3         GNU library for command line editing (gnu.org/s/readline)
  CppAD 20160000.1     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  ZLIB 1.2.8           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.1.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)

user parameter file <scip.set> not found - using default parameters

read problem <../../data/madelon_train.logreg>
============

File name	:	../../data/madelon_train.logreg
Problem name 	:	madelon_train
Number of data	:	2000
Number of var	:	500
The given data has linear independence

[dim=1] time: 1.88508
[dim=2] time: 3.78436
[dim=3] time: 5.73628
[dim=4] time: 7.68158
[dim=5] time: 9.6731
[dim=6] time: 11.6831
[dim=7] time: 13.7217
[dim=8] time: 15.7935
[dim=9] time: 17.8584
[dim=10] time: 19.9519
[dim=11] time: 22.0577
[dim=12] time: 24.1886
[dim=13] time: 26.3103
[dim=14] time: 28.4439
[dim=15] time: 30.6345
[dim=16] time: 32.8136
[dim=17] time: 35.0247
[dim=18] time: 37.2367
[dim=19] time: 39.6402
[dim=20] time: 41.8769
[dim=21] time: 44.1568
[dim=22] time: 46.7565
[dim=23] time: 49.3298
[dim=24] time: 51.677
[dim=25] time: 54.3271
[dim=26] time: 56.7093
[dim=27] time: 59.1442
[dim=28] time: 61.651
[dim=29] time: 64.3501
[dim=30] time: 67.3733
[dim=31] time: 70.0686
[dim=32] time: 72.8053
[dim=33] time: 75.3333
[dim=34] time: 77.9229
[dim=35] time: 80.6464
[dim=36] time: 83.7704
[dim=37] time: 86.4381
[dim=38] time: 89.0751
[dim=39] time: 91.7656
[dim=40] time: 94.7277
[dim=41] time: 97.5401
[dim=42] time: 100.266
[dim=43] time: 103.034
[dim=44] time: 105.785
[dim=45] time: 108.606
[dim=46] time: 111.708
[dim=47] time: 114.575
[dim=48] time: 117.439
[dim=49] time: 120.314
[dim=50] time: 123.301
[dim=51] time: 126.297
[dim=52] time: 129.226
[dim=53] time: 132.405
[dim=54] time: 135.409
[dim=55] time: 138.471
[dim=56] time: 141.664
[dim=57] time: 145.087
[dim=58] time: 148.666
[dim=59] time: 151.814
[dim=60] time: 154.947
[dim=61] time: 158.131
[dim=62] time: 161.329
[dim=63] time: 165.183
[dim=64] time: 168.92
[dim=65] time: 172.173
[dim=66] time: 175.466
[dim=67] time: 178.831
[dim=68] time: 182.155
[dim=69] time: 185.528
[dim=70] time: 188.886
[dim=71] time: 192.397
[dim=72] time: 196.281
[dim=73] time: 199.767
[dim=74] time: 203.257
[dim=75] time: 206.83
[dim=76] time: 210.333
[dim=77] time: 213.912
[dim=78] time: 217.511
[dim=79] time: 221.168
[dim=80] time: 224.751
[dim=81] time: 228.915
[dim=82] time: 232.586
[dim=83] time: 236.353
[dim=84] time: 240.042
[dim=85] time: 243.899
[dim=86] time: 247.692
[dim=87] time: 251.526
[dim=88] time: 255.29
[dim=89] time: 259.111
[dim=90] time: 263.217
